datetime,open,high,low,close,volume
2026-03-18 07:15:00,2321.34,2321.79,2315.8,2317.61,2155.2154
2026-03-18 07:30:00,2317.61,2317.61,2311.53,2313.62,2070.9118
2026-03-18 07:45:00,2313.62,2319.25,2312.79,2317.74,1414.2946
2026-03-18 08:00:00,2317.73,2323.79,2317.3,2322.01,1772.9232
2026-03-18 08:15:00,2322.01,2323.16,2319.42,2321.59,1075.8106
2026-03-18 08:30:00,2321.6,2322.91,2318.76,2321.84,1331.4346
2026-03-18 08:45:00,2321.83,2325.5,2320.08,2322.59,781.6761
2026-03-18 09:00:00,2322.59,2329.7,2321.87,2328.34,2812.0523
2026-03-18 09:15:00,2328.33,2332.15,2328.03,2328.66,2048.132
2026-03-18 09:30:00,2328.66,2333.62,2328.56,2331.59,1460.0476
2026-03-18 09:45:00,2331.59,2332.75,2327.03,2329.27,1218.2295
2026-03-18 10:00:00,2329.27,2331.39,2324.11,2330.84,1664.0868
2026-03-18 10:15:00,2330.83,2331.15,2327.37,2330.67,2322.5377
2026-03-18 10:30:00,2330.67,2331.99,2313.0,2314.34,5332.7056
2026-03-18 10:45:00,2314.35,2314.74,2309.42,2312.83,5143.859
2026-03-18 11:00:00,2312.83,2319.16,2304.08,2315.02,5325.4636
2026-03-18 11:15:00,2315.02,2316.97,2292.8,2295.16,7433.0443
2026-03-18 11:30:00,2295.15,2298.2,2263.43,2276.61,24951.8994
2026-03-18 11:45:00,2276.6,2276.97,2265.74,2269.34,6110.241
2026-03-18 12:00:00,2269.33,2270.5,2253.8,2259.84,13473.9961
2026-03-18 12:15:00,2259.84,2264.02,2255.96,2263.52,4523.4169
2026-03-18 12:30:00,2263.52,2263.53,2237.27,2241.82,14066.679
2026-03-18 12:45:00,2241.82,2246.28,2235.45,2237.49,8967.2183
2026-03-18 13:00:00,2237.5,2240.12,2223.69,2238.03,12823.7216
2026-03-18 13:15:00,2238.03,2241.76,2230.33,2238.9,5985.5809
2026-03-18 13:30:00,2238.89,2244.9,2232.0,2237.93,6855.1699
2026-03-18 13:45:00,2237.94,2241.54,2229.39,2235.68,5361.1967
2026-03-18 14:00:00,2235.69,2237.21,2222.08,2223.01,6620.1341
2026-03-18 14:15:00,2223.02,2228.01,2212.53,2215.64,10651.0218
2026-03-18 14:30:00,2215.64,2224.36,2203.24,2204.21,11313.2668
2026-03-18 14:45:00,2204.21,2211.81,2186.93,2190.27,22645.7256
2026-03-18 15:00:00,2190.26,2196.23,2168.97,2181.16,26644.8542
2026-03-18 15:15:00,2181.16,2187.42,2174.9,2182.82,9874.0726
2026-03-18 15:30:00,2182.82,2192.29,2179.47,2183.19,6535.6578
2026-03-18 15:45:00,2183.19,2189.4,2177.4,2187.66,4052.4075
2026-03-18 16:00:00,2187.67,2190.93,2175.16,2177.19,7727.7862
2026-03-18 16:15:00,2177.19,2180.29,2166.87,2174.68,10265.7763
2026-03-18 16:30:00,2174.67,2179.92,2168.69,2179.67,4088.8644
2026-03-18 16:45:00,2179.68,2186.65,2178.12,2181.0,3091.4261
2026-03-18 17:00:00,2181.0,2184.42,2176.99,2182.09,3492.8701
2026-03-18 17:15:00,2182.09,2199.96,2179.82,2198.33,6782.7977
2026-03-18 17:30:00,2198.33,2211.7,2191.94,2204.51,10840.6606
2026-03-18 17:45:00,2204.51,2210.68,2201.5,2204.02,4811.4579
2026-03-18 18:00:00,2204.02,2220.0,2203.27,2215.03,10786.117
2026-03-18 18:15:00,2215.03,2215.03,2192.06,2198.0,7850.322
2026-03-18 18:30:00,2198.0,2209.22,2194.21,2200.02,5436.9412
2026-03-18 18:45:00,2200.01,2200.01,2176.0,2181.2,8814.7951
2026-03-18 19:00:00,2181.2,2193.41,2179.4,2188.62,4250.3163
2026-03-18 19:15:00,2188.62,2196.57,2187.62,2193.37,3401.6074
2026-03-18 19:30:00,2193.36,2196.35,2189.11,2191.3,3308.5752
2026-03-18 19:45:00,2191.3,2192.56,2178.81,2185.85,4120.1575
2026-03-18 20:00:00,2185.85,2188.4,2153.21,2171.7,19568.4032
2026-03-18 20:15:00,2171.71,2178.8,2169.41,2176.68,4449.7696
2026-03-18 20:30:00,2176.68,2185.87,2176.02,2180.98,4696.6625
2026-03-18 20:45:00,2180.98,2194.78,2178.48,2187.36,5168.5201
2026-03-18 21:00:00,2187.36,2195.0,2185.66,2189.01,2700.4838
2026-03-18 21:15:00,2189.0,2199.77,2188.37,2197.35,3922.7519
2026-03-18 21:30:00,2197.35,2204.34,2191.63,2201.68,3378.2998
2026-03-18 21:45:00,2201.67,2206.87,2198.47,2202.49,2997.9829
2026-03-18 22:00:00,2202.5,2203.5,2187.58,2190.26,3914.2603
2026-03-18 22:15:00,2190.25,2195.89,2188.73,2193.98,2122.2993
2026-03-18 22:30:00,2193.98,2194.47,2187.62,2191.58,2102.0077
2026-03-18 22:45:00,2191.59,2194.42,2189.46,2194.41,1875.293
2026-03-18 23:00:00,2194.41,2199.58,2190.62,2193.56,4275.1251
2026-03-18 23:15:00,2193.55,2195.27,2188.77,2194.96,3847.5813
2026-03-18 23:30:00,2194.97,2204.65,2194.96,2202.37,4191.3992
2026-03-18 23:45:00,2202.33,2206.88,2200.32,2203.39,6068.461
2026-03-19 00:00:00,2203.39,2208.28,2194.18,2201.38,4207.1684
2026-03-19 00:15:00,2201.38,2204.28,2196.42,2203.51,2302.7286
2026-03-19 00:30:00,2203.5,2204.22,2191.35,2192.63,3165.9969
2026-03-19 00:45:00,2192.62,2195.73,2190.86,2193.34,2549.8331
2026-03-19 01:00:00,2193.33,2196.99,2188.88,2191.12,2865.2276
2026-03-19 01:15:00,2191.12,2194.02,2187.24,2192.66,2261.1062
2026-03-19 01:30:00,2192.67,2201.42,2190.82,2199.65,2715.4562
2026-03-19 01:45:00,2199.66,2201.98,2196.74,2196.92,2221.4421
2026-03-19 02:00:00,2196.93,2201.4,2188.94,2200.03,2492.3312
2026-03-19 02:15:00,2200.02,2203.69,2198.94,2202.08,802.5502
2026-03-19 02:30:00,2202.08,2205.0,2199.53,2204.16,1219.5835
2026-03-19 02:45:00,2204.15,2204.27,2196.11,2196.68,1677.7487
2026-03-19 03:00:00,2196.69,2207.0,2196.69,2205.38,2192.2305
2026-03-19 03:15:00,2205.37,2233.72,2205.13,2228.38,14774.5528
2026-03-19 03:30:00,2228.38,2229.72,2209.44,2210.39,4490.4368
2026-03-19 03:45:00,2210.39,2215.0,2206.66,2212.29,2641.2338
2026-03-19 04:00:00,2212.29,2213.11,2198.0,2201.13,4197.7475
2026-03-19 04:15:00,2201.13,2202.88,2192.69,2194.67,2412.6352
2026-03-19 04:30:00,2194.67,2198.8,2190.83,2194.52,1910.3262
2026-03-19 04:45:00,2194.52,2197.6,2191.18,2193.61,1307.5561
2026-03-19 05:00:00,2193.62,2196.2,2190.82,2193.46,1199.9101
2026-03-19 05:15:00,2193.45,2198.5,2189.55,2190.74,1159.3813
2026-03-19 05:30:00,2190.74,2194.34,2186.67,2190.65,2526.2429
2026-03-19 05:45:00,2190.66,2192.0,2187.39,2189.14,2044.3534
2026-03-19 06:00:00,2189.14,2193.53,2181.8,2191.33,5961.5339
2026-03-19 06:15:00,2191.32,2195.7,2187.44,2187.44,2143.5309
2026-03-19 06:30:00,2187.43,2188.63,2177.79,2186.71,4008.0217
2026-03-19 06:45:00,2186.71,2188.03,2178.0,2180.64,4276.4761
2026-03-19 07:00:00,2180.65,2182.0,2159.64,2160.71,11828.0582
2026-03-19 07:15:00,2160.71,2163.51,2143.14,2154.9,17025.2043
2026-03-19 07:30:00,2154.9,2175.34,2154.0,2168.07,10051.6331
2026-03-19 07:45:00,2168.08,2173.69,2164.35,2166.68,7158.6758
2026-03-19 08:00:00,2166.68,2170.99,2161.35,2165.67,5037.8103
2026-03-19 08:15:00,2165.67,2168.89,2158.39,2159.56,3474.9924
2026-03-19 08:30:00,2159.56,2166.98,2158.09,2160.99,3066.6551
2026-03-19 08:45:00,2160.99,2165.17,2158.67,2160.66,2555.7041
2026-03-19 09:00:00,2160.65,2167.87,2159.99,2163.95,5701.545
2026-03-19 09:15:00,2163.96,2188.32,2162.81,2179.95,22191.529
2026-03-19 09:30:00,2179.96,2186.63,2176.42,2182.97,3203.3795
2026-03-19 09:45:00,2182.97,2191.16,2181.46,2189.42,3725.7584
2026-03-19 10:00:00,2189.43,2192.07,2182.53,2184.27,2547.168
2026-03-19 10:15:00,2184.27,2186.87,2181.82,2182.2,1715.1804
2026-03-19 10:30:00,2182.21,2182.64,2176.64,2178.17,2131.5471
2026-03-19 10:45:00,2178.17,2178.86,2172.48,2172.76,1832.5432
2026-03-19 11:00:00,2172.76,2176.39,2167.56,2170.45,2827.5313
2026-03-19 11:15:00,2170.45,2175.85,2168.89,2174.75,1793.9376
2026-03-19 11:30:00,2174.75,2177.58,2165.83,2167.75,2741.6595
2026-03-19 11:45:00,2167.76,2169.91,2165.88,2166.92,1239.1046
2026-03-19 12:00:00,2166.92,2167.48,2156.02,2162.06,5082.1071
2026-03-19 12:15:00,2162.06,2162.66,2153.58,2155.74,3035.2308
2026-03-19 12:30:00,2155.75,2158.66,2153.01,2154.22,2569.4147
2026-03-19 12:45:00,2154.22,2154.22,2130.16,2132.45,14102.9086
2026-03-19 13:00:00,2132.45,2136.53,2117.36,2119.52,15265.4252
2026-03-19 13:15:00,2119.52,2137.25,2118.0,2130.13,9561.8703
2026-03-19 13:30:00,2130.12,2142.31,2110.9,2138.1,24944.8126
2026-03-19 13:45:00,2138.1,2143.16,2128.02,2137.49,11438.4295
2026-03-19 14:00:00,2137.5,2147.26,2125.59,2127.15,9078.543
2026-03-19 14:15:00,2127.15,2129.06,2108.28,2109.54,12087.6331
2026-03-19 14:30:00,2109.54,2117.57,2102.16,2114.7,14184.4011
2026-03-19 14:45:00,2114.69,2131.36,2110.6,2121.68,8763.2063
2026-03-19 15:00:00,2121.67,2136.79,2120.25,2128.41,8301.1004
2026-03-19 15:15:00,2128.41,2135.33,2110.86,2112.43,7661.849
2026-03-19 15:30:00,2112.43,2116.3,2104.97,2104.99,7819.8989
2026-03-19 15:45:00,2104.99,2126.97,2099.38,2118.81,11417.4909
2026-03-19 16:00:00,2118.81,2121.95,2112.95,2115.45,18948.8758
2026-03-19 16:15:00,2115.44,2116.93,2106.44,2112.85,7753.0662
2026-03-19 16:30:00,2112.84,2121.92,2106.93,2116.89,3886.371
2026-03-19 16:45:00,2116.88,2117.78,2108.44,2115.09,3699.9629
2026-03-19 17:00:00,2115.08,2116.55,2104.87,2109.42,3523.9441
2026-03-19 17:15:00,2109.43,2127.62,2107.06,2125.47,5359.0523
2026-03-19 17:30:00,2125.47,2128.72,2114.09,2117.73,3212.2003
2026-03-19 17:45:00,2117.73,2131.7,2116.46,2126.96,3126.7113
2026-03-19 18:00:00,2126.97,2129.48,2122.04,2125.86,1972.0149
2026-03-19 18:15:00,2125.86,2127.33,2117.96,2118.82,1811.9247
2026-03-19 18:30:00,2118.83,2120.2,2114.31,2116.84,1855.2526
2026-03-19 18:45:00,2116.83,2126.09,2114.53,2125.04,2263.7639
2026-03-19 19:00:00,2125.04,2151.93,2125.04,2141.87,11221.3531
2026-03-19 19:15:00,2141.88,2156.92,2139.01,2145.07,9459.9237
2026-03-19 19:30:00,2145.06,2147.78,2137.93,2145.49,5371.2049
2026-03-19 19:45:00,2145.48,2148.16,2138.7,2141.19,2927.6776
2026-03-19 20:00:00,2141.18,2144.83,2139.39,2144.13,1395.7645
2026-03-19 20:15:00,2144.13,2149.46,2139.67,2140.69,2370.045
2026-03-19 20:30:00,2140.68,2152.8,2140.06,2147.62,2408.0536
2026-03-19 20:45:00,2147.61,2148.79,2143.34,2146.35,1879.6199
2026-03-19 21:00:00,2146.35,2155.62,2145.72,2153.79,3272.8839
2026-03-19 21:15:00,2153.78,2153.78,2145.38,2148.72,2238.7477
2026-03-19 21:30:00,2148.72,2150.89,2146.04,2148.84,1772.9006
2026-03-19 21:45:00,2148.85,2153.68,2145.16,2149.95,2410.3861
2026-03-19 22:00:00,2149.95,2151.84,2143.51,2150.35,2776.08
2026-03-19 22:15:00,2150.35,2152.36,2147.11,2149.73,1366.7356
2026-03-19 22:30:00,2149.73,2150.76,2133.08,2138.8,6083.0364
2026-03-19 22:45:00,2138.8,2142.13,2135.51,2140.08,2005.1021
2026-03-19 23:00:00,2140.08,2147.48,2140.08,2146.17,2430.6289
2026-03-19 23:15:00,2146.17,2146.17,2136.42,2142.6,2773.4714
2026-03-19 23:30:00,2142.6,2144.51,2130.57,2134.43,4192.4064
2026-03-19 23:45:00,2134.43,2139.53,2133.41,2137.81,2131.2373
2026-03-20 00:00:00,2137.82,2146.16,2134.72,2144.44,2285.4849
2026-03-20 00:15:00,2144.45,2148.37,2138.48,2142.89,2497.761
2026-03-20 00:30:00,2142.89,2149.0,2141.51,2145.99,2513.7768
2026-03-20 00:45:00,2146.0,2148.25,2142.79,2145.6,2180.4971
2026-03-20 01:00:00,2145.61,2154.0,2145.1,2152.01,3604.0305
2026-03-20 01:15:00,2152.01,2153.12,2147.25,2149.69,2557.6626
2026-03-20 01:30:00,2149.7,2160.78,2149.7,2159.07,6494.9256
2026-03-20 01:45:00,2159.07,2160.55,2150.84,2150.88,2568.0895
2026-03-20 02:00:00,2150.89,2151.77,2145.36,2145.7,2161.7464
2026-03-20 02:15:00,2145.7,2145.73,2137.1,2139.09,2724.5455
2026-03-20 02:30:00,2139.09,2144.12,2132.69,2143.06,3112.6229
2026-03-20 02:45:00,2143.06,2149.5,2139.93,2144.44,4248.184
2026-03-20 03:00:00,2144.45,2148.75,2143.61,2145.5,1240.404
2026-03-20 03:15:00,2145.49,2152.89,2145.02,2152.89,1560.3266
2026-03-20 03:30:00,2152.89,2157.08,2148.15,2148.79,2472.825
2026-03-20 03:45:00,2148.79,2154.35,2147.27,2151.38,2271.8779
2026-03-20 04:00:00,2151.38,2159.24,2149.72,2157.18,3004.0014
2026-03-20 04:15:00,2157.18,2157.19,2151.7,2154.5,1805.4391
2026-03-20 04:30:00,2154.5,2154.76,2139.18,2140.59,3998.8924
2026-03-20 04:45:00,2140.6,2149.07,2139.92,2148.38,1874.831
2026-03-20 05:00:00,2148.39,2151.92,2145.44,2151.01,2197.1241
2026-03-20 05:15:00,2151.01,2151.72,2142.45,2143.31,1372.9118
2026-03-20 05:30:00,2143.31,2145.82,2137.73,2144.79,2210.5832
2026-03-20 05:45:00,2144.78,2145.95,2138.4,2140.37,916.3291
2026-03-20 06:00:00,2140.38,2141.78,2136.5,2139.08,1974.4846
2026-03-20 06:15:00,2139.08,2139.08,2133.5,2138.3,1994.6714
2026-03-20 06:30:00,2138.3,2140.42,2132.06,2136.84,2117.9261
2026-03-20 06:45:00,2136.84,2139.9,2135.68,2136.61,1854.2729
2026-03-20 07:00:00,2136.61,2136.61,2121.25,2128.56,7055.5933
2026-03-20 07:15:00,2128.56,2142.52,2128.13,2138.61,2163.4357
2026-03-20 07:30:00,2138.62,2152.85,2136.58,2152.81,4883.577
2026-03-20 07:45:00,2152.8,2153.4,2148.92,2150.54,3855.8764
2026-03-20 08:00:00,2150.53,2176.84,2146.71,2170.8,9562.6495
2026-03-20 08:15:00,2170.79,2171.07,2162.79,2165.27,6303.9361
2026-03-20 08:30:00,2165.27,2167.76,2161.05,2164.4,3042.4571
2026-03-20 08:45:00,2164.39,2166.33,2160.62,2164.2,2679.2194
2026-03-20 09:00:00,2164.19,2164.19,2154.67,2154.68,4616.9591
2026-03-20 09:15:00,2154.69,2155.78,2139.17,2142.44,5736.5129
2026-03-20 09:30:00,2142.44,2148.59,2142.44,2145.73,2511.5445
2026-03-20 09:45:00,2145.73,2146.18,2134.95,2141.21,3509.612
2026-03-20 10:00:00,2141.21,2141.51,2132.44,2135.32,2962.6886
2026-03-20 10:15:00,2135.31,2138.5,2131.56,2135.79,2664.5782
2026-03-20 10:30:00,2135.79,2151.27,2135.62,2147.67,3162.0216
2026-03-20 10:45:00,2147.67,2150.45,2146.61,2148.38,1522.6163
2026-03-20 11:00:00,2148.38,2158.69,2146.96,2158.04,4893.3656
2026-03-20 11:15:00,2158.04,2158.04,2148.84,2150.0,2928.8138
2026-03-20 11:30:00,2150.0,2150.33,2135.0,2139.35,4075.8854
2026-03-20 11:45:00,2139.34,2142.6,2136.86,2141.5,1517.5448
2026-03-20 12:00:00,2141.49,2152.74,2140.13,2145.86,3673.0324
2026-03-20 12:15:00,2145.87,2148.52,2139.74,2142.37,1473.7091
2026-03-20 12:30:00,2142.37,2142.64,2135.37,2139.06,2381.4811
2026-03-20 12:45:00,2139.06,2142.3,2136.76,2141.13,1182.9197
2026-03-20 13:00:00,2141.13,2145.2,2135.52,2138.88,2127.1357
2026-03-20 13:15:00,2138.88,2152.64,2138.09,2146.8,2596.548
2026-03-20 13:30:00,2146.8,2146.8,2123.18,2141.09,8557.5823
2026-03-20 13:45:00,2141.08,2143.28,2124.86,2127.39,5523.2636
2026-03-20 14:00:00,2127.39,2135.51,2116.88,2124.88,8721.3284
2026-03-20 14:15:00,2124.88,2141.65,2119.5,2135.52,8707.3758
2026-03-20 14:30:00,2135.52,2147.74,2134.98,2136.22,5158.7913
2026-03-20 14:45:00,2136.22,2139.69,2126.08,2129.3,3097.1336
2026-03-20 15:00:00,2129.3,2134.96,2120.33,2130.31,4563.0496
2026-03-20 15:15:00,2130.31,2138.78,2122.16,2130.36,5957.8936
2026-03-20 15:30:00,2130.35,2135.46,2127.19,2132.28,2758.1678
2026-03-20 15:45:00,2132.27,2137.14,2129.29,2134.01,2003.883
2026-03-20 16:00:00,2134.0,2142.45,2133.65,2139.33,3623.5502
2026-03-20 16:15:00,2139.33,2144.76,2135.62,2140.23,3069.613
2026-03-20 16:30:00,2140.23,2140.35,2130.61,2135.02,2098.0085
2026-03-20 16:45:00,2135.01,2140.42,2130.58,2137.31,1724.0221
2026-03-20 17:00:00,2137.32,2141.16,2131.53,2133.15,2401.4283
2026-03-20 17:15:00,2133.15,2135.77,2130.64,2130.92,1380.9048
2026-03-20 17:30:00,2130.91,2132.07,2119.72,2124.78,3753.4701
2026-03-20 17:45:00,2124.78,2140.0,2123.81,2136.69,2368.1419
2026-03-20 18:00:00,2136.7,2137.67,2132.59,2135.3,1874.726
2026-03-20 18:15:00,2135.29,2136.11,2124.18,2125.56,1788.7851
2026-03-20 18:30:00,2125.56,2127.11,2117.41,2123.54,4518.8952
2026-03-20 18:45:00,2123.54,2129.0,2120.17,2123.29,4107.2656
2026-03-20 19:00:00,2123.29,2128.06,2120.74,2125.97,2840.717
2026-03-20 19:15:00,2125.96,2128.2,2122.11,2125.12,2474.0872
2026-03-20 19:30:00,2125.12,2129.74,2117.5,2129.51,3745.1291
2026-03-20 19:45:00,2129.51,2134.97,2124.0,2132.91,3240.9979
2026-03-20 20:00:00,2132.91,2137.0,2131.38,2135.16,1834.18
2026-03-20 20:15:00,2135.17,2135.17,2129.38,2130.95,1124.3406
2026-03-20 20:30:00,2130.94,2131.11,2123.96,2128.68,1664.1599
2026-03-20 20:45:00,2128.67,2135.51,2127.33,2133.25,1598.7067
2026-03-20 21:00:00,2133.25,2134.9,2130.83,2134.22,1602.3033
2026-03-20 21:15:00,2134.21,2153.31,2133.99,2151.93,6624.8194
2026-03-20 21:30:00,2151.93,2157.25,2142.7,2144.67,4403.6198
2026-03-20 21:45:00,2144.67,2149.68,2144.42,2147.53,1330.6594
2026-03-20 22:00:00,2147.53,2168.0,2147.53,2160.46,6575.9546
2026-03-20 22:15:00,2160.47,2162.79,2156.13,2156.62,1453.8683
2026-03-20 22:30:00,2156.63,2157.94,2153.72,2154.38,1559.112
2026-03-20 22:45:00,2154.37,2160.0,2152.47,2154.71,2657.1083
2026-03-20 23:00:00,2154.7,2155.72,2145.23,2145.38,2162.0535
2026-03-20 23:15:00,2145.38,2148.99,2143.16,2146.84,1357.9786
2026-03-20 23:30:00,2146.85,2148.52,2145.49,2146.49,680.2702
2026-03-20 23:45:00,2146.49,2148.54,2145.09,2146.22,568.8915
2026-03-21 00:00:00,2146.21,2149.52,2144.24,2146.6,1721.9003
2026-03-21 00:15:00,2146.6,2156.77,2146.03,2150.61,2960.8955
2026-03-21 00:30:00,2150.61,2153.74,2148.89,2150.23,1208.4896
2026-03-21 00:45:00,2150.23,2153.73,2149.35,2153.3,651.0274
2026-03-21 01:00:00,2153.3,2159.87,2151.78,2155.26,1443.6724
2026-03-21 01:15:00,2155.26,2155.8,2151.44,2153.64,925.946
2026-03-21 01:30:00,2153.65,2153.65,2149.09,2149.3,1273.4233
2026-03-21 01:45:00,2149.35,2150.88,2147.35,2147.55,651.0297
2026-03-21 02:00:00,2147.54,2150.25,2146.35,2148.12,761.7339
2026-03-21 02:15:00,2148.12,2153.09,2148.12,2151.91,854.9597
2026-03-21 02:30:00,2151.9,2154.45,2149.78,2154.0,587.0604
2026-03-21 02:45:00,2154.0,2156.32,2152.92,2154.9,425.0141
2026-03-21 03:00:00,2154.89,2155.95,2152.74,2153.76,492.6944
2026-03-21 03:15:00,2153.76,2154.18,2152.16,2153.42,631.9676
2026-03-21 03:30:00,2153.42,2153.42,2150.99,2152.44,554.2492
2026-03-21 03:45:00,2152.43,2154.38,2152.09,2153.6,572.675
2026-03-21 04:00:00,2153.59,2158.19,2153.3,2155.54,1320.8742
2026-03-21 04:15:00,2155.54,2157.65,2154.57,2156.37,1200.2275
2026-03-21 04:30:00,2156.37,2156.37,2150.36,2152.1,1106.0699
2026-03-21 04:45:00,2152.1,2152.73,2151.61,2151.75,448.2425
2026-03-21 05:00:00,2151.76,2160.0,2151.75,2153.46,4303.5717
2026-03-21 05:15:00,2153.46,2156.51,2153.45,2155.95,889.1214
2026-03-21 05:30:00,2155.95,2157.99,2153.97,2155.11,773.6811
2026-03-21 05:45:00,2155.12,2155.4,2152.57,2153.39,698.8819
2026-03-21 06:00:00,2153.39,2154.13,2152.47,2152.69,462.9191
2026-03-21 06:15:00,2152.68,2155.0,2152.28,2154.79,641.0173
2026-03-21 06:30:00,2154.79,2156.49,2154.45,2155.56,703.6827
2026-03-21 06:45:00,2155.55,2155.81,2154.26,2155.8,404.0874
2026-03-21 07:00:00,2155.81,2156.36,2155.05,2155.83,565.5293
2026-03-21 07:15:00,2155.83,2161.34,2155.54,2159.99,1252.0076
2026-03-21 07:30:00,2160.0,2160.0,2156.77,2157.62,926.1573
2026-03-21 07:45:00,2157.62,2157.62,2153.72,2155.67,798.1122
2026-03-21 08:00:00,2155.67,2157.22,2154.67,2156.15,1008.4705
2026-03-21 08:15:00,2156.14,2156.36,2150.01,2150.36,1187.0496
2026-03-21 08:30:00,2150.36,2154.17,2149.57,2153.7,1065.7704
2026-03-21 08:45:00,2153.71,2154.86,2152.63,2154.0,310.2089
2026-03-21 09:00:00,2153.99,2158.5,2153.8,2157.62,1292.4654
2026-03-21 09:15:00,2157.62,2157.62,2155.01,2155.13,1197.7864
2026-03-21 09:30:00,2155.13,2159.0,2155.12,2157.97,1362.9055
2026-03-21 09:45:00,2157.98,2159.0,2157.44,2158.77,705.4795
2026-03-21 10:00:00,2158.77,2159.52,2155.68,2156.08,872.1398
2026-03-21 10:15:00,2156.09,2156.22,2153.94,2155.12,656.2752
2026-03-21 10:30:00,2155.11,2156.95,2154.68,2155.24,384.8074
2026-03-21 10:45:00,2155.24,2155.24,2153.05,2154.34,366.1102
2026-03-21 11:00:00,2154.34,2154.57,2153.05,2153.06,264.775
2026-03-21 11:15:00,2153.05,2156.27,2153.0,2155.31,484.8806
2026-03-21 11:30:00,2155.3,2157.01,2154.16,2156.92,336.9095
2026-03-21 11:45:00,2156.92,2157.91,2155.99,2157.37,544.1
2026-03-21 12:00:00,2157.37,2159.46,2157.37,2158.91,709.4276
2026-03-21 12:15:00,2158.91,2160.62,2157.4,2159.51,974.0921
2026-03-21 12:30:00,2159.51,2159.52,2157.27,2158.39,401.855
2026-03-21 12:45:00,2158.39,2158.85,2156.76,2157.98,482.3469
2026-03-21 13:00:00,2157.98,2158.16,2156.78,2157.3,451.904
2026-03-21 13:15:00,2157.29,2159.79,2155.55,2156.04,574.8515
2026-03-21 13:30:00,2156.04,2157.66,2155.01,2155.3,581.4369
2026-03-21 13:45:00,2155.31,2156.38,2155.0,2155.86,245.4943
2026-03-21 14:00:00,2155.86,2168.27,2155.79,2165.01,3059.2164
2026-03-21 14:15:00,2165.0,2166.62,2160.89,2161.87,1710.9202
2026-03-21 14:30:00,2161.87,2165.2,2160.69,2161.1,1190.0529
2026-03-21 14:45:00,2161.1,2161.1,2150.61,2152.13,2258.0451
2026-03-21 15:00:00,2152.13,2154.17,2150.93,2153.82,1541.7452
2026-03-21 15:15:00,2153.82,2154.31,2146.45,2152.67,3598.4722
2026-03-21 15:30:00,2152.67,2157.58,2152.39,2154.1,1532.3099
2026-03-21 15:45:00,2154.09,2155.91,2153.74,2155.12,638.9832
2026-03-21 16:00:00,2155.13,2155.58,2151.56,2152.24,1611.0652
2026-03-21 16:15:00,2152.25,2154.4,2146.61,2148.73,1430.4507
2026-03-21 16:30:00,2148.73,2150.95,2147.41,2148.42,809.3228
2026-03-21 16:45:00,2148.41,2150.85,2144.67,2146.65,1160.9701
2026-03-21 17:00:00,2146.64,2148.63,2142.01,2144.98,1245.1743
2026-03-21 17:15:00,2144.97,2148.54,2143.99,2147.65,943.9134
2026-03-21 17:30:00,2147.65,2150.4,2147.65,2149.74,628.1141
2026-03-21 17:45:00,2149.73,2150.61,2147.16,2148.56,405.1472
2026-03-21 18:00:00,2148.56,2150.09,2147.79,2150.08,743.2221
2026-03-21 18:15:00,2150.09,2153.05,2149.69,2151.56,840.8491
2026-03-21 18:30:00,2151.55,2155.64,2151.55,2155.03,760.4122
2026-03-21 18:45:00,2155.04,2155.04,2150.43,2151.46,402.7864
2026-03-21 19:00:00,2151.47,2152.68,2151.21,2152.16,686.2257
2026-03-21 19:15:00,2152.17,2153.03,2150.89,2152.48,1374.2514
2026-03-21 19:30:00,2152.47,2152.48,2149.06,2150.14,533.8371
2026-03-21 19:45:00,2150.14,2152.73,2150.13,2152.16,389.899
2026-03-21 20:00:00,2152.17,2153.23,2150.74,2152.59,239.3006
2026-03-21 20:15:00,2152.6,2154.98,2150.41,2153.89,653.3624
2026-03-21 20:30:00,2153.89,2156.5,2153.49,2155.36,1312.3581
2026-03-21 20:45:00,2155.36,2156.59,2154.74,2155.67,497.1125
2026-03-21 21:00:00,2155.67,2157.0,2153.52,2154.33,639.9819
2026-03-21 21:15:00,2154.33,2155.17,2153.35,2154.23,319.5613
2026-03-21 21:30:00,2154.23,2156.22,2153.47,2155.13,508.7002
2026-03-21 21:45:00,2155.12,2156.0,2152.21,2153.7,1415.3775
2026-03-21 22:00:00,2153.69,2153.69,2150.05,2152.37,1082.6319
2026-03-21 22:15:00,2152.37,2152.51,2150.17,2150.51,360.5989
2026-03-21 22:30:00,2150.5,2153.23,2150.08,2151.58,749.3235
2026-03-21 22:45:00,2151.57,2151.58,2149.36,2149.94,463.4839
2026-03-21 23:00:00,2149.93,2149.93,2145.01,2146.24,557.6127
2026-03-21 23:15:00,2146.23,2147.78,2144.42,2144.43,855.4596
2026-03-21 23:30:00,2144.43,2147.56,2144.0,2146.78,478.9937
2026-03-21 23:45:00,2146.78,2146.78,2070.78,2084.87,44257.7562
2026-03-22 00:00:00,2084.86,2084.97,2050.12,2071.82,30220.1493
2026-03-22 00:15:00,2071.83,2086.6,2070.26,2085.97,9957.7131
2026-03-22 00:30:00,2085.98,2095.43,2085.98,2090.73,10376.5284
2026-03-22 00:45:00,2090.73,2094.91,2080.3,2087.67,10352.2885
2026-03-22 01:00:00,2087.68,2094.49,2083.74,2088.5,9003.0398
2026-03-22 01:15:00,2088.49,2093.43,2085.99,2090.45,3522.9909
